busting	rebentando
buff	buff
wax	cera
sleeve	manga
se	se
pudding	pudim
products	produtos
philosophy	filosofia
Juliet	Julieta
japan	japão
irony	ironia
hospitals	hospitais
dope	dope
declare	declarar
autopsy	autópsia
workin	workin
torch	tocha
substitute	substituto
scandal	escândalo
prick	picar
limb	membro
leaf	folha
laser	laser
lady's	da senhora
hysterical	histérico
growth	crescimento
goddamnit	maldição
fetch	buscar
dimension	dimensão
day's	do dia
crowded	lotado
cousins	primos
clip	clipe
climbing	escalada
bonding	colagem
bee	abelha
Barnes	Barnes
approved	aprovado
yeh	yeh
woah	woah
veronica	veronica
ultimately	finalmente
trusts	confia
terror	terror
roller	rolo
returns	retorna
negotiate	negociar
millennium	milênio
mi	mi
marsh	pântano
majority	maioria
lethal	letal
length	comprimento
iced	iced
fantasies	fantasias
element	elemento
deeds	escrituras
Clarke	Clarke
cigars	charutos
Bradley	Bradley
bore	furo
babysitter	baby-sitter
sponge	esponja
sleepy	adormecido
Rita	Rita
questioned	questionado
peek	espreitar
outrageous	ultrajante
nigger	negro
medal	medalha
Kiriakis	Kiriakis
insulted	insultado
hu	hu
grudge	ressentimento
established	estabelecido
driveway	entrada
deserted	deserto
definite	definitivo
capture	captura
beep	bip
Adams	Adams
wires	fios
weed	erva daninha
suggestions	sugestões
searched	pesquisado
owed	devido a
originally	originalmente
nickname	apelido
mo	mo
lighting	iluminação
lend	emprestar
films	filmes
drunken	bêbado
demanding	exigindo
Costanza	Costanza
conviction	condenação
characters	caracteres
Carlo	Carlo
bumped	colidiu com
Alaska	Alasca
weigh	pesar
weasel	doninha
valentine	cartão comemorativo do dia dos namorados
touches	toca
tempted	tentado
supreme	supremo
shout	gritar
rocket	foguete
resolve	resolver
relate	relate
poisoned	envenenado
pip	pip
Phoebe's	Febe's
Pete's	Pete's
occasionally	ocasionalmente
Molly's	Molly's
meals	refeições
maker	fabricante
invitations	convites
intruder	intruso
haunted	assombrado
Harrison	Harrison
fur	peles
footage	filmagens
depending	dependendo
bonds	obrigações
bogus	falso
Berlin	Berlim
Barton	Barton
autograph	autógrafo
Arizona	Arizona
apples	maçãs
affects	afeta
tolerate	tolerar
stepping	passo a passo
spontaneous	espontâneo
southern	sul
sleeps	dorme
probation	liberdade condicional
presentation	apresentação
performed	realizado
Manny	Manny
identical	idêntico
herb	erva
fist	punho
cycle	ciclo
cooler	mais frio
banner	banner
associates	associados
Aaron's	Aaron's
yankee	yankee
streak	raia
spectacular	espetacular
sector	setor
muscles	músculos
lasted	durou
Isaac's	Isaac's
increase	aumentar
hostages	reféns
heroin	heroína
havin	tendo em
hardware	hardware
habits	hábitos
fisher	pescador
encouraging	encorajando
cult	culto
consult	consulte
burgers	hambúrgueres
Bristow	Bristow
boyfriends	namorados
bailed	pagou a fiança
baggage	bagagem
association	associação
wealthy	rico
watches	relógios
versus	versus
troubled	problemático
torturing	torturando
teasing	provocação
sweetest	mais doce
stations	estações
sip	golo
Shawn's	Shawn's
rag	rag
qualities	qualidades
postpone	adiar
pad	pad
overwhelmed	dominado
maniac	maníaco
Malkovich	Malkovich
impulse	impulso
hut	cabana
follows	segue
duchess	duquesa
classy	elegante
charging	cobrança
celebrity	celebridade
Barbara's	Barbara's
angel's	de anjos
amazed	surpreendido
slater	slater
scenes	cenas
rising	crescendo
revealed	revelado
representing	representando
policeman	policial
offensive	ofensiva
mug	caneca
hypocrite	hipócrita
humiliate	humilhar
hideous	hediondo
hairy	cabeludo
Gunn	Gunn
finals	finais
experiences	experiências
d'ya	d'ya
courts	tribunais
costumes	fantasias
Chilton	Chilton
Carrie	Carrie
captured	capturado
bolt	parafuso
bluffing	blefando
betting	apostando
bein	bein
bedtime	hora de dormir
ay	ay
alpha	alfa
alcoholic	alcoólatra
waters	águas
visual	visual
vegetable	vegetal
Vaughn	Vaughn
tray	bandeja
Thompson	Thompson
suspicions	suspeitas
sticky	pegajoso
spreading	divulgação
splendid	esplêndido
smiles	sorrisos
shrimp	camarão
shouting	gritando
roots	raízes
ransom	resgate
pressed	pressionado
nooo	nooo
Liza's	Liza's
jew	judeu
intent	intenção
grieving	de luto
gladly	de bom grado
Georgia	Geórgia
fling	fling
eliminate	eliminar
disorder	desordem
Courtney's	Courtney's
cocaine	cocaína
chancellor	chanceler
cereal	cereais
arrives	chega
aaah	aaah
yum	yum
Tracy	Tracy
technique	técnica
subway	metrô
strain	tensão
statements	declarações
sonofabitch	filho da puta
servant	empregado
roads	estradas
resident	residente
republican	republicano
paralyzed	paralisados
orb	órbita
lotta	lotta
locks	cadeados
Lawrence	Lawrence
guaranteed	garantido
European	Europeu
dummy	manequim
discipline	disciplina
