heavens	ˈhɛvənz	céus	cielos	ˈhɛv ən 	<span class="bold">hev</span>-<span class="italic">uh</span>n 	place where god lives; wonderful feeling	<b>nirvana,Promised Land,immortality,paradise</b>	[sound:thesaurus-heavens.mp3]		céu,paraíso	/<span class="ipa dipa">ˈhev·ən</span>/	[sound:cambridge-heaven.mp3]		(2538)céus,(717)céu,(39)heavens,(38)paraíso,(18)firmamento,(10)alturas,(7)nuvens,		in some religions, the place where God or the gods live, and where good people go when they die,the sky,(something which brings) great happiness	céu,paraíso
fortunately	ˈfɔrʧənətli	felizmente	por suerte,afortunadamente	ˈfɔr tʃə nɪt li 	<span class="bold">fawr</span>-ch<span class="italic">uh</span>-nit-lee 	luckily		[sound:thesaurus-fortunately.mp3]		felizmente	/<span class="ipa dipa">ˈfɔr·tʃə·nət·li</span>/	[sound:cambridge-fortunately.mp3]		(4800)felizmente,(157)por sorte,(113)afortunadamente,(57)ainda bem,(33)infelizmente,(7)FeIizmente,(3)graças a Deus,(2)Menos mal,		whatever happens by chance or (good or bad) luck,a large amount of money	felizmente,sorte,fortuna
fooling	ˈfulɪŋ	enganar	engañando	ful 	fool 	joking, tricks	<font color="#cccccc">roughhouse,farce,teasing,jesting,sham,trifling,roughhousing,frolicking,spoofing,kidding,skylarking,bluffing,joshing</font>	[sound:thesaurus-fooling.mp3]		idiota,bobo,-a,tolo,fazer papel de bobo,fazer alguém de bobo,fazer-se de bobo,enganar,lograr,trapacear	/<span class="ipa dipa">ful</span>/	[sound:cambridge-fool.mp3]		(171)enganar,(163)enganando,(137)a brincar,(89)brincando,(79)engana,(33)brincadeira,(18)a enganar-me,(18)enganam,(17)a gozar,(11)enganado,(9)a enganar-se,(7)enganar-nos,(0)engano,(null),			
expectations	ˌɛkspɛkˈteɪʃənz	expectativas	expectativas	ˌɛk spɛkˈteɪ ʃən 	ek-spek-<span class="bold">tey</span>-sh<span class="italic">uh</span>n 	belief, anticipation	<b>prospect,confidence,trust,outlook,possibility,prediction,intention,chance,assumption,promise,fear,forecast,likelihood,notion,hope,view</b>	[sound:thesaurus-expectations.mp3]		expectativa	/<span class="ipa dipa">ˌek·spekˈteɪ·ʃən</span>/	[sound:cambridge-expectation.mp3]		(6689)expectativas,(369)expectativa,(197)expetativas,(49)esperado,(44)espera,(37)expectations,(31)espectativas,(27)previsões,(26)esperança,(24)anseios,(16)esperava,(14)aspirações,(10)expectações,(null),		to think of as likely to happen or come,to think or believe (that something will happen),to require,to suppose or assume	esperar,acreditar,supor
draft	dræft	esboço,projeto,projecto de	sequía,proyecto de	dræft, drɑft 	draft, drahft 	something formulated; plan,check for paying money,gust of air,military conscription,drink of beverage,formulate,select for military force	<b>blueprint,version,outline,</b><b>bill,</b><font color="#cccccc">current,puff,eddy,breeze,wind,</font><b>selection,lottery,</b><font color="#cccccc">drench,drain,swill,swig,glass,drag,swallow,peg,quaff,</font><b>outline,prepare,devise,design,forge,draw up,</b><b>press,choose,recruit,call up</b>	[sound:thesaurus-draft.mp3]		rascunho,ortografia americana de “draught”				(4046)projecto de,(1337)projeto,(1139)proposta de,(952)rascunho,(948)draft,(462)elaborar,(403)esboço,(334)projectos de,(195)versão,(131)redigir,(120)anteprojecto,(94)recrutamento,(81)texto,(73)elaboração,(71)corrente de ar,(56)minuta,(37)calado,(35)esboçar,(19)anteprojeto,(15)rascunhar,(14)desenho,(11)delinear,(8)traçar,(7)recrutar,(2)enviar,(null),		a rough sketch or outline of something, especially written,a group (of soldiers etc) taken from a larger group,an order (to a bank etc) for the payment of money,(American) conscription,to make in the form of a rough plan,(American) to conscript into the army etc	alistamento,cheque,corrente de ar,gole,rascunho,recrutamento,ordem de pagamento,esboçar,alistar
citizens	ˈsɪtəzənz	cidadãos	los ciudadanos	ˈsɪt ə zən, -sən 	<span class="bold">sit</span>-<span class="italic">uh</span>-z<span class="italic">uh</span>n, -s<span class="italic">uh</span>n 	person native of country	<b>voter,civilian,resident,national,settler,inhabitant,taxpayer,villager</b>	[sound:thesaurus-citizens.mp3]		cidadão,cidadã	/<span class="ipa dipa">ˈsɪt̬·ə·zən</span>/	[sound:cambridge-eus70819.mp3]		(31112)cidadãos,(1220)cidadão,(1190)concidadãos,(624)cidadania,(197)pessoas,(184)população,(170)habitantes,(149)idosos,(119)Citizens,(85)nacionais,(74)compatriotas,(59)civis,(56)povo,(45)populações,(35)cívicos,(null),		an inhabitant of a city or town,a member of a state or country	cidadão
cigar	sɪˈgɑr	charuto	cigarro	sɪˈgɑr 	si-<span class="bold">gahr</span> 	roll of tobacco	<font color="#cccccc">tobacco,bouquet,corona,smoke,stogy,claro,havana,toby,panatela,weed,belvedere,cheroot,stogie</font>	[sound:thesaurus-cigar.mp3]		charuto	/<span class="ipa dipa">sɪˈɡɑr</span>/	[sound:cambridge-cigar.mp3]		(1079)charuto,(242)cigarro,(29)Cigar,(28)tabacaria,(12)tabaco,(12)fumar,(8)cigarreira,(3)havanos,(2)cigarrilha,		a roll of tobacco leaves for smoking	charuto
active	ˈæktɪv	ativo	activo	ˈæk tɪv 	<span class="bold">ak</span>-tiv 	having movement,very involved in activity	<b>operating,alive,effective,</b><b>forceful,busy,energetic,diligent,keen,dynamic,enthusiastic,engaged,alive,eager,determined,lively,resolute,ready,quick,aggressive,intense,bold</b>	[sound:thesaurus-active.mp3]		ativo,dinâmico,atuante	/<span class="ipa dipa">ˈæk·tɪv</span>/	[sound:cambridge-active.mp3]		(13527)ativo,(12779)activo,(903)Active,(410)atividade,(379)actividade,(170)operam,(131)opera,(110)atuante,(86)atua,(71)ativado,(50)activado,(50)concreta,(42)operante,(21)actuante,(20)vivo,(4)vigoroso,(3)vigente,(null),		energetic or lively; able to work etc,(busily) involved,causing an effect or effects,in force,(of volcanoes) still likely to erupt,of the form of a verb in which the subject performs the action of the verb	ativo,activo,em vigor
weakness	ˈwiknəs	fraqueza	debilidad	ˈwik nɪs 	<span class="bold">week</span>-nis 	defect, proneness	<b>flaw,vulnerability,lapse,lack,fragility,gap,deficiency,shortcoming,frailty,instability,failing</b>	[sound:thesaurus-weakness.mp3]		fraqueza,debilidade,fragilidade	/<span class="ipa dipa">ˈwik·nəs</span>/	[sound:cambridge-eus74946.mp3]		(5483)fraqueza,(612)debilidade,(300)fragilidade,(274)ponto fraco,(144)fraco,(42)enfraquecimento,(35)deficiência,(31)queda,(29)falha,(28)fraquinho,(23)insuficiência,(18)pontos fracos,(12)lacuna,(10)defeito,(10)vulnerabilidade,(null),		lacking in physical strength,not strong in character,(of a liquid) diluted; not strong,(of an explanation etc) not convincing,(of a joke) not particularly funny	fraqueza,fraco,sem graça
Vincent	ˈvɪnsənt	Vincent,Vicente	Vincent,Vicente					[sound:thesaurus-Vincent.mp3]						(5647)Vincent,(593)Vicente,(56)Vicent,(25)Vince,(10)Vincenzo,(10)Vincente,(9)Van Gogh,(4)Vicentino,			
