virus	vírus, vírus, viroses, verificador de vírus, verificador de vírus
shrink	encolher, diminuir, psiquiatra, encolhimento, redução, contração, retração, encolhimento, contração, reduzido, decrescente
influence	influência, poder, peso, afetar, persuadir, influenciado, influenciadas, marcada, abrangidos, influências, influência indevida, abuso de influência
freezing	congelamento, congelação, refrigeração, de congelação, congelantes, geladas, congelação rápida, ponto de congelação, ponto de congelamento, frio congelante, frio terrível, frio intenso, frio de gelar
concert	concerto, espetáculo, recital, concertada, conjunto, combinado, articulado, concerto
wreck	naufrágio, destroços, caco, destruir, arruinar, naufragar, aniquilar, destruído, naufragado, desbaratado, aniquilado, destroços, escombros, naufrágio, bola de demolição


chain	cadeia, rede, corrente, elo, encadear, cadeia de fornecimento, cadeia de suprimento, cadeia de suprimentos, cadeia de fornecedores, cadeia de valor, cadeia de oferta, gestão da cadeia de fornecimento, gerenciamento da cadeia de fornecimento

walker	caminhante, andarilho, pedestre, andadores, andarilhos, peões, passeador de cães, andador, carrinho-andador

wire	fio, arame, cabo, escuta, ligar algo/alguém, telegrafar, cercar, bancárias, com fio, conectados, transferido, por cabo, transferência bancária, transferência eletrônica, transferência electrónica

presence	presença, existência, na presença de, presença de espírito, presença de mente, presença no mercado, presença de mercado
blown	soprado, levadas, insuflado, soprados, detonado, fusível queimado, vidro soprado
anxious	ansioso, preocupado, inquieto, desejosos
cave	gruta, cavidade, toca, advertência, aviso, ressalva
version	versão, modelo, variante, versão preliminar, versão provisória, versão de teste, versão de avaliação, versão experimental, versão de demonstração, última versão, versão mais recente, versão mais atual, versão mais atualizada

holidays	férias, feriados, festas, feriados, feriados públicos, feriados oficiais, férias do Natal, feriados legais
cleared	desembaraçada, compensado, autorizado, desmatadas, fundos disponíveis, área desmatada, ser esclarecido, ser clarificado

survived	sobrevivido
caring	atencioso, cuidadoso, preocupados, atento, responsabilidades de cuidados
candles	velas, castiçal, candeia, candelabro, candeeiro, velas acesas
bound	obrigado, vinculado, vinculados, ligado, limite, salto, obrigar, limitar, atar, pular, limite, fronteira, delimitação, contorno, limitado, demarcada, delimitado, vinculada
related	relacionado, relativos, relativa, ligados, intimamente ligado, estreitamente ligado, partes relacionadas, partidos relacionados, partes conexas, parte relacionada, parte ligada, parte coligada

charm	charme, encanto, simpatia, berloque, encantar, charmoso, encantador, fascinante, agradável
apple	maçã, macieira, tarte de maçã, torta de maçã, maçãs, crocante de maçã


pulse	pulso, impulso, ritmo, pulsação, pulsar, frequência de pulso, ritmo dos impulsos, frequência cardíaca


frame	quadro, estrutura, armação, emoldurar, moldar, idear, quadro, enquadramento, estrutura, âmbito, emoldurado, enquadrado, concebido, cercada, quadro jurídico, quadro legal, enquadramento legal, estrutura legal
boom	explosão, lança, auge, estrondo, expandir-se, florescente, crescente, pujante, baby-boom, baby boom
vice	vice, vício, torninho, prensa, vice-versa, vice-presidente
performance	desempenho, performance, rendimento, atuação, garantia de execução, garantia de performance, indicadores-chave de desempenho, indicadores-chave do desempenho
occasion	ocasião, festa, evento, ocasionar, causar, ocasional, ocasionais, pontuais, pontual, ocasiões, momentos, oportunidades, por ocasião de
silence	silêncio, silenciar, calar algo/alguém, silenciador, silenciado, em silêncio
opera	ópera, operar, funcionar, agir, comandar, operação, funcionamento, utilização, gestão
opal	opala, opalino, opalescente, opalescência
nonsense	absurdo, disparates, disparate, besteira, perfeito disparate, falar bobagens, dizer disparates, total absurdo, completo absurdo

