virus	, ,vírus,​,, ,vírus, m ​,·viroses, f ​,, ,verificador de vírus,​,, ,verificador de vírus,​,
shrink	, ,encolher,​,·diminuir,​,, ,psiquiatra, s ​,, ,encolhimento,​,·redução,​,·contração,​,·retração,​,, ,encolhimento,​,·contração,​,, ,reduzido,​,·decrescente,​,
influence	, ,influência,​,·poder,​,·peso,​,, ,afetar,​,·persuadir,​,, ,influenciado,​,·influenciadas,​,·marcada,​,·abrangidos,​,, ,influências, f ​,, ,influência indevida,​,·abuso de influência,​,
freezing	, ,congelamento,​,·congelação,​,·refrigeração,​,, ,de congelação, ​,·congelantes,​,·geladas,​,, ,congelação rápida,​,, ,ponto de congelação,​,·ponto de congelamento,​,, ,frio congelante,​,·frio terrível,​,·frio intenso,​,·frio de gelar,​,
concert	, ,concerto,​,·espetáculo,​,·recital,​,, ,concertada,​,·conjunto,​,·combinado, ​,·articulado,​,, ,concerto,​,
wreck	, ,naufrágio,​,·destroços, m ​,·caco,​,, ,destruir,​,·arruinar,​,·naufragar,​,·aniquilar,​,, ,destruído, ​,·naufragado,​,·desbaratado,​,·aniquilado,​,, ,destroços, m ​,·escombros, m ​,·naufrágio,​,, ,bola de demolição,​,


chain	, ,cadeia,​,·rede,​,·corrente,​,·elo,​,, ,encadear,​,, ,cadeia de fornecimento,​,·cadeia de suprimento,​,·cadeia de suprimentos,​,·cadeia de fornecedores,​,, ,cadeia de valor,​,·cadeia de oferta,​,, ,gestão da cadeia de fornecimento,​,·gerenciamento da cadeia de fornecimento,​,

walker	, ,caminhante,​,·andarilho,​,·pedestre,​,, ,andadores, m ​,·andarilhos, m ​,·peões, m ​,, ,passeador de cães,​,, ,andador,​,·carrinho-andador,​,

wire	, ,fio,​,·arame,​,·cabo,​,·escuta,​,, ,ligar algo/alguém,​,·telegrafar,​,·cercar,​,, ,bancárias,​,, ,com fio,​,·conectados,​,·transferido,​,·por cabo,​,, ,transferência bancária,​,·transferência eletrônica,​,·transferência electrónica,​,

presence	, ,presença,​,·existência,​,, ,na presença de, prep ​,, ,presença de espírito,​,·presença de mente,​,, ,presença no mercado,​,·presença de mercado,​,
blown	, ,soprado,​,·levadas,​,·insuflado,​,·soprados,​,, ,detonado,​,, ,fusível queimado,​,, ,vidro soprado,​,
anxious	, ,ansioso,​,·preocupado,​,·inquieto,​,·desejosos,​,
cave	, ,gruta,​,·cavidade,​,·toca,​,, ,advertência,​,·aviso,​,·ressalva,​,
