virus	(16581)vírus,(183)viral,(39)zika,(38)antivírus,(37)virose,(22)doença,(21)VIH,(8)worm,(1)vírus de computador
shrink	(1408)psiquiatra,(547)encolher,(309)psicólogo,(139)terapeuta,(122)diminuir,(92)psicóloga,(62)reduzir,(57)Shrink,(45)analista,(30)psicanalista,(24)encolhimento,(15)terapia,(13)encolhíveis,(9)retrair
influence	(24087)influência,(6014)influenciar,(314)influir,(171)efeito,(93)peso,(89)impacto,(78)influxo,(76)influente,(63)Influence,(47)poder,(46)trânsito,(31)incidência,(25)ação,(24)afectar,(1)actuar
freezing	(1026)congelamento,(436)congelando,(418)congelação,(353)gelado,(341)congelar,(322)frio,(90)congelante,(69)gelar,(66)congelado,(22)gelando,(17)gélido,(17)Freezing,(14)congele,(13)enregelado
concert	(6844)concerto,(1907)show,(573)Concert,(125)apresentação,(89)espectáculo,(48)espetáculo,(37)concertação,(32)vivo,(30)concertista,(21)evento,(18)acordo,(18)recital,(9)kontsertnykh,(2)concerto musical
wreck	(358)acidente,(325)naufrágio,(298)destruir,(266)destroços,(210)desastre,(148)Wreck,(85)estragar,(57)arruinar,(42)caco,(40)farrapo,(38)destruição,(38)desgraça,(32)destroço,(23)ruína,(22)sucata,(13)destroçada,(8)naufragar,(2)acidente de carro,(2)frangalho,(1)acidente de viação
partners	(21818)parceiros,(2494)sócios,(856)parceiro,(678)Partners,(224)companheiros,(169)colegas,(148)parceria,(112)partes,(99)associados,(97)interlocutores,(67)colaboradores,(33)pares,(26)companheiras,(22)cúmplices,(22)comparsas
Massimo		
chain	(12657)cadeia,(2699)corrente,(700)rede,(535)Chain,(65)acorrentar,(57)fio,(52)colar,(37)encadeamento,(31)cordão,(28)moto,(26)cota,(23)coleira,(21)fileira,(19)correia,(15)cadeado,(13)encadear,(11)prender,(5)algema,(1)escravizar
birds	(7530)aves,(6632)pássaros,(583)Birds,(298)passarinhos,(95)pássaro,(71)animais,(57)ave,(54)pombos,(28)pombinhos,(23)miúdas,(20)aviões,(17)helicópteros,(13)galinhas,(9)galos,(9)pombas
walker	(4665)Walker,(104)andador,(86)caminhante,(83)andarilho,(35)morto-vivo,(31)passeador,(29)WaIker,(28)zumbi,(28)equilibrista,(21)errante,(12)passeadora,(10)bengala,(8)caminheiro,(6)passeia,(2)pedestre
life's	(996)vida é,(17)Life's,(14)existência,(11)viver
wire	(3629)fio,(1948)arame,(751)escuta,(441)cabo,(373)Wire,(187)transferência,(178)telegrama,(147)microfone,(105)transferir,(78)corda,(59)rede,(58)linha,(37)ligar,(35)grampo,(28)telégrafo,(18)telegrafar,(14)conectar,(4)prender,(1)de arame
technically	(6485)tecnicamente,(340)técnica,(59)teoricamente,(48)termos técnicos,(33)na prática,(33)na verdade,(27)do ponto de vista técnico,(13)tecnologicamente,(8)Na teoria,(5)na realidade
presence	(43930)presença,(459)existência,(270)presente,(186)diante,(95)participação,(70)frente,(63)perante,(58)presence,(47)permanência,(45)atuação,(38)presencia,(36)presenña,(33)ocorrência,(18)aparecimento,(12)assistência
blown	(252)soprado,(234)explodido,(167)explodir,(162)explodiu,(133)descoberto,(113)pelos ares,(83)destruído,(65)estourado,(53)queimado,(40)estragado,(36)tiro,(31)fundido,(16)jogado,(15)desfeito,(13)comprometido
anxious	(2252)ansioso,(127)ansiedade,(80)preocupado,(58)nervoso,(37)inquieto,(35)desejoso,(25)queria,(25)tanto,(15)impaciente,(14)desejo,(13)preocupar,(13)pressa,(11)ancioso,(2)desejar
cave	(4660)caverna,(1281)gruta,(403)Cave,(79)cova,(67)ceder,(48)rupestre,(29)buraco,(15)toca,(11)urso-das-cavernas,(10)peshchernye,(10)batcaverna,(9)peshchernykh,(8)bat-caverna,(6)subterrâneo,(2)espelunca
version	(52498)versão,(555)version,(218)baixando,(139)edição,(67)texto,(56)redacção,(55)variante,(28)adaptação,(27)canção,(21)tradução,(14)actualização,(11)redação,(11)verso
mickey	(3770)Mickey,(49)Mickey's,(34)Micky,(16)Mikey,(11)Mick,(4)sonífero
holidays	(3260)férias,(2269)feriados,(452)festas,(218)Natal,(207)feriado,(143)Holidays,(46)festividades,(39)viagens,(27)celebrañoes,(17)dias festivos,(15)época festiva,(12)época natalícia,(11)turismo,(9)fim de ano,(8)quadra
cleared	(362)limpo,(218)liberado,(174)limpou,(169)autorização,(158)autorizado,(138)ilibado,(130)livre,(129)esclarecido,(88)inocentado,(68)apurado,(63)eliminado,(50)vazio,(47)compensado,(44)apagado,(37)libertado,(12)evacuada
wishes	(3377)desejos,(2718)deseja,(1146)quer,(958)votos,(803)pretende,(702)vontade,(417)desejo,(370)desejar,(334)quiser,(300)gostaria,(208)deseje,(152)pretenda,(122)pretender,(115)queria,(98)queira
survived	(3231)sobreviveu,(1846)sobreviveram,(1163)sobrevivido,(524)sobrevivi,(325)sobrevivemos,(200)sobreviver,(176)sobreviveste,(57)sobrevivesse,(43)sobrevivente,(38)sobreviviam,(33)sobrevive,(28)sobrevivia,(27)resistiu,(23)sobrevivendo,(10)escapado
caring	(725)cuidar,(309)carinhoso,(291)cuidado,(196)cuidando,(169)carinho,(140)atencioso,(104)cuidadoso,(86)se importar,(65)me importar,(59)solidário,(38)preocupação,(33)assistência,(25)solícito,(24)atendimento,(1)humanitário
candles	(3021)velas,(42)vela,(35)velinhas,(24)candeias,(21)Candles,(16)círios,(12)Gatões,(7)tochas,(7)doces,(7)Primaveras
bound	(841)ligado,(710)obrigado,(668)vinculado,(269)amarrado,(259)limite,(242)preso,(165)Bound,(131)limitado,(98)atado,(87)encadernado,(74)obrigação,(63)ligação,(53)rumo,(48)destinado,(42)caminho,(24)salto,(22)sujeita,(5)pulo,(2)limitar,(2)saltar
related	(9382)relacionado,(2051)conexo,(796)relação,(665)coligado,(655)afim,(622)ligado,(606)relativo,(487)Related,(390)sobre,(353)associado,(146)correspondente,(135)respectivo,(81)relatado,(65)aparentado
Gabrielle		
charm	(3156)charme,(1277)encanto,(351)amuleto,(131)encantar,(110)Charm,(98)sorte,(89)feitiço,(74)talismã,(58)charmoso,(54)fascínio,(39)seduzir,(34)encantamento,(17)encantadora,(17)graça,(12)pingente,(7)cativar
apple	(8285)Apple,(4651)maçã,(181)macieira,(89)menina,(42)pomo,(23)Iorque,(9)pupila
yup	(736)sim,(67)Yup,(50)pois
Texas		
pulse	(3137)pulso,(756)pulsação,(291)impulso,(197)Pulse,(119)pulsar,(46)oximetria,(33)pulsão,(24)cardíaca,(22)batimento,(21)onda,(17)vibração,(17)sinal,(5)palpitar,(4)energia,(3)bater
jumping	(862)saltar,(508)pulando,(348)saltando,(347)pular,(324)salto,(212)jumping,(46)salta,(29)saltam,(25)pulo,(22)pula,(20)saltador,(18)abandonar,(18)saltares,(18)tirando,(16)saltitante
jokes	(3286)piadas,(286)brincadeiras,(190)anedotas,(176)piada,(101)brinca,(75)piadinhas,(62)brincar,(48)gracejos,(41)partidas,(35)brincadeira,(20)chistes,(14)gracinhas,(14)brincando,(6)graçolas,(6)engraçadinho
frame	(2470)quadro,(1595)moldura,(924)frame,(892)estrutura,(449)incriminar,(403)armação,(242)enquadrar,(193)imagem,(120)referencial,(115)enquadramento,(99)marco,(99)fotograma,(94)tramar,(82)emoldurar,(76)culpar,(33)corpo,(32)caixilho,(25)forma,(23)moldar,(12)esqueleto,(8)bastidor,(6)construir
boom	(1882)boom,(390)bum,(168)explosão,(153)crescimento,(134)lança,(100)estrondo,(73)expansão,(44)pronto,(35)auge,(35)microfone,(35)pum,(32)barra,(23)aumento,(20)braço,(14)haste,(12)retranca,(0)crescimento rápido
vice	(1685)vice,(645)vício,(154)Costumes,(102)vice-almirante,(96)vice-presidência,(93)Narcóticos,(71)vice-diretor,(55)vice-chanceler,(50)vice-reitor,(43)vice-,(29)Vice-rei,(24)vice-cônsul,(23)torno,(17)vice-governador,(4)morsa
performance	(34680)desempenho,(8566)performance,(1891)apresentação,(1508)atuação,(1039)rendimento,(1032)execução,(981)realização,(849)resultados,(759)actuação,(502)exercício,(316)espetáculo,(314)interpretação,(312)prestação,(279)eficiência,(269)espectáculo,(248)cumprimento
occasion	(10310)ocasião,(522)vez,(486)oportunidade,(252)momento,(188)circunstância,(134)altura,(111)caso,(93)motivo,(62)evento,(50)acontecimento,(36)ensejo,(36)celebração,(17)comemoração,(10)festejar,(8)ocasionar
silence	(10468)silêncio,(656)silenciar,(265)Silence,(168)calar,(70)silencioso,(40)calado,(21)silíªncio,(12)silenciosamente,(9)silenciamento,(8)mutismo,(2)mudez
opera	(8409)ópera,(57)teatro,(55)da ópera,(43)lírico,(32)obra,(13)operística,(13)pera,(7)opernogo,(6)opus
opal	(275)Opal,(138)opala,(7)ópalo,(3)opalina,(3)opalino
nonsense	(844)disparate,(639)absurdo,(594)bobagem,(281)tolice,(201)besteira,(170)sem sentido,(96)loucura,(75)nonsense,(55)parvoíce,(37)absurda,(33)baboseira,(30)estupidez,(28)treta,(25)idiotice,(20)insensatez,(18)contra-senso,(9)disparatada,(2)despropósito
Julie		
frightened	(1228)assustado,(473)com medo,(170)assustou,(110)amedrontado,(64)apavorado,(50)assustei,(44)assustaram,(39)assustava,(36)aterrorizado,(34)assusta,(32)assustar,(27)susto,(13)medroso,(10)assustador,(4)receoso
downtown	(2314)centro,(757)centro da cidade,(596)Downtown,(429)baixa,(255)no centro da cidade,(122)na cidade,(72)à esquadra,(52)à cidade,(43)para a esquadra,(40)parte central da cidade,(33)na esquadra,(26)na delegacia,(22)à delegacia,(15)centrais,(13)para a delegacia
Americans		
Joshua		
internet	(44704)Internet,(186)web,(171)internautas,(165)online,(152)rede,(114)net,(64)site,(43)on-line,(35)cyber,(26)internete,(22)acesso,(20)conexão,(17)electrónico
Valerie		
slipped	(591)escorregou,(244)escorreguei,(115)caiu,(87)escorregado,(76)entrou,(70)passou,(65)deu,(61)deslizou,(53)colocou,(49)esquecido,(27)coloquei,(26)caído,(23)deslizado,(22)escorregaram,(21)colocado
Lucinda		
holly	(3152)Holly,(109)azevinho,(34)HoIIy,(9)Holli,(9)Santo,(7)Holy
duck	(3172)pato,(827)Duck,(85)fácil,(70)pata,(68)abaixar,(56)baixar,(38)Patolino,(22)esquivar,(21)esconder,(18)evitar,(11)desviar,(10)abaixe-se,(9)abaixa-te,(6)marreco,(5)mergulhar
dimera	(4)dezenas,(3)10 cêntimos por,(3)preço de,(3)centavo de uma,(2)moeda de dez centavos a,(2)10 cêntimos a,(2)centavo uma,(2)zé-ninguém,(2)Dez cêntimos
blowing	(437)soprando,(297)soprar,(183)sopro,(122)sopra,(91)estragar,(52)vento,(47)soprava,(43)sopram,(40)explosão,(37)fazer,(36)estragando,(34)estourar,(29)mandar,(25)chupar,(19)expansão
world's	(3203)mundial,(2684)do mundo,(219)World's,(55)global,(48)do planeta,(36)maiores,(31)países,(30)terra,(23)internacional,(22)mundialmente,(20)pior,(18)universal,(11)globo,(10)worldâ € s,(9)internacionais
session	(14795)sessão,(373)reunião,(316)Session,(128)assembleia,(110)plenário,(109)seção,(77)consulta,(71)aula,(60)treino,(57)período,(56)estúdio,(54)plenária,(47)gravação,(36)terapia,(20)audiência
relationships	(8437)relações,(4828)relacionamentos,(692)relacionamento,(565)relação,(49)medicine,(48)laços,(35)vínculos,(34)disease,(29)relationships,(26)hunger,(18)food,(10)relaciones,(9)interações
