tables	[sound:howjsay-tables.mp3]
sympathy	[sound:howjsay-sympathy.mp3]
pill	[sound:howjsay-pill.mp3]
pee	[sound:howjsay-pee.mp3]
lean	[sound:howjsay-lean.mp3]
filthy	[sound:howjsay-filthy.mp3]
cliff	[sound:howjsay-cliff.mp3]
burger	[sound:howjsay-burger.mp3]
web	[sound:howjsay-web.mp3]
seventeen	[sound:howjsay-seventeen.mp3]
landed	[sound:howjsay-landed.mp3]
expression	[sound:howjsay-expression.mp3]
entrance	[sound:howjsay-entrance.mp3]
employee	[sound:howjsay-employee.mp3]
drawing	[sound:howjsay-drawing.mp3]
cap	[sound:howjsay-cap.mp3]
bunny	[sound:howjsay-bunny.mp3]
bracelet	[sound:howjsay-bracelet.mp3]
thirteen	[sound:howjsay-thirteen.mp3]
scout	[sound:howjsay-scout.mp3]
principal	[sound:howjsay-principal.mp3]
pays	[sound:howjsay-pays.mp3]
Jen's	[sound:howjsay-pays.mp3]
fairly	[sound:howjsay-fairly.mp3]
facility	[sound:howjsay-facility.mp3]
Dru	[sound:howjsay-facility.mp3]
deeper	[sound:howjsay-deeper.mp3]
arrive	[sound:howjsay-arrive.mp3]
unique	[sound:howjsay-unique.mp3]
tracking	[sound:howjsay-tracking.mp3]
spite	[sound:howjsay-spite.mp3]
shed	[sound:howjsay-shed.mp3]
recommend	[sound:howjsay-recommend.mp3]
oughta	
nanny	[sound:howjsay-nanny.mp3]
naive	[sound:howjsay-naive.mp3]
menu	[sound:howjsay-menu.mp3]
grades	[sound:howjsay-grades.mp3]
diet	[sound:howjsay-diet.mp3]
corn	[sound:howjsay-corn.mp3]
authorities	[sound:howjsay-authorities.mp3]
Walsh	[sound:howjsay-authorities.mp3]
separated	[sound:howjsay-separated.mp3]
roses	[sound:howjsay-roses.mp3]
patch	[sound:howjsay-patch.mp3]
grey	[sound:howjsay-grey.mp3]
dime	[sound:howjsay-dime.mp3]
devastated	[sound:howjsay-devastated.mp3]
description	[sound:howjsay-description.mp3]
tap	[sound:howjsay-tap.mp3]
subtle	[sound:howjsay-subtle.mp3]
include	[sound:howjsay-include.mp3]
Harris	[sound:howjsay-include.mp3]
garrison	[sound:howjsay-garrison.mp3]
citizen	[sound:howjsay-citizen.mp3]
bullets	[sound:howjsay-bullets.mp3]
beans	[sound:howjsay-beans.mp3]
Ric	[sound:howjsay-beans.mp3]
pile	[sound:howjsay-pile.mp3]
metal	[sound:howjsay-metal.mp3]
las	[sound:howjsay-las%20cruces.mp3]
Kelso	[sound:howjsay-las%20cruces.mp3]
executive	[sound:howjsay-executive.mp3]
confirm	[sound:howjsay-confirm.mp3]
capital	[sound:howjsay-capital.mp3]
adults	[sound:howjsay-adults.mp3]
Traci	[sound:howjsay-adults.mp3]
toe	[sound:howjsay-toe.mp3]
strings	[sound:howjsay-strings.mp3]
parade	[sound:howjsay-parade.mp3]
harbor	[sound:howjsay-harbor.mp3]
charity's	
bow	[sound:howjsay-bow.mp3]
borrowed	[sound:howjsay-borrowed.mp3]
booth	[sound:howjsay-booth.mp3]
toys	[sound:howjsay-toys.mp3]
straighten	[sound:howjsay-straighten.mp3]
steak	[sound:howjsay-steak.mp3]
status	[sound:howjsay-status.mp3]
remote	[sound:howjsay-remote.mp3]
premonition	[sound:howjsay-premonition.mp3]
poem	[sound:howjsay-poem.mp3]
planted	[sound:howjsay-planted.mp3]
honored	[sound:howjsay-honored.mp3]
youth	[sound:howjsay-youth.mp3]
specifically	[sound:howjsay-specifically.mp3]
meetings	[sound:howjsay-meetings.mp3]
Lopez	[sound:howjsay-meetings.mp3]
exam	[sound:howjsay-exam.mp3]
daily	[sound:howjsay-daily.mp3]
convenient	[sound:howjsay-convenient.mp3]
traveling	[sound:howjsay-traveling.mp3]
matches	[sound:howjsay-matches.mp3]
laying	[sound:howjsay-laying.mp3]
insisted	[sound:howjsay-insisted.mp3]
crystal	[sound:howjsay-crystal.mp3]
apply	[sound:howjsay-apply.mp3]
units	[sound:howjsay-units.mp3]
technology	[sound:howjsay-technology.mp3]
steel	[sound:howjsay-steel.mp3]
muscle	[sound:howjsay-muscle.mp3]
Joel	[sound:howjsay-muscle.mp3]
dish	[sound:howjsay-dish.mp3]
aitoro	
sis	[sound:howjsay-sis.mp3]
sales	[sound:howjsay-sales.mp3]
Marie	[sound:howjsay-sales.mp3]
legend	[sound:howjsay-legend.mp3]
kindly	[sound:howjsay-kindly.mp3]
grandson	[sound:howjsay-grandson.mp3]
donor	[sound:howjsay-donor.mp3]
wheels	[sound:howjsay-wheels.mp3]
temper	[sound:howjsay-temper.mp3]
teenager	[sound:howjsay-teenager.mp3]
strategy	[sound:howjsay-strategy.mp3]
richard's	
proven	[sound:howjsay-proven.mp3]
mothers	[sound:howjsay-mothers.mp3]
monitor	[sound:howjsay-monitor.mp3]
iron	[sound:howjsay-iron.mp3]
houses	[sound:howjsay-houses.mp3]
eternity	[sound:howjsay-eternity.mp3]
denial	[sound:howjsay-denial.mp3]
Dana	[sound:howjsay-denial.mp3]
couples	[sound:howjsay-couples.mp3]
backwards	[sound:howjsay-backwards.mp3]
tent	[sound:howjsay-tent.mp3]
swell	[sound:howjsay-swell.mp3]
noon	[sound:howjsay-noon.mp3]
happiest	[sound:howjsay-happiest.mp3]
gotcha	[sound:howjsay-gotcha.mp3]
episode	[sound:howjsay-episode.mp3]
drives	[sound:howjsay-drives.mp3]
bacon	[sound:howjsay-bacon.mp3]
thinkin	[sound:howjsay-thinking.mp3]
spirits	[sound:howjsay-spirits.mp3]
potion	[sound:howjsay-potion.mp3]
holes	[sound:howjsay-holes.mp3]
fence	[sound:howjsay-fence.mp3]
dial	[sound:howjsay-dial.mp3]
affairs	[sound:howjsay-affairs.mp3]
acts	[sound:howjsay-acts.mp3]
whatsoever	[sound:howjsay-whatsoever.mp3]
ward	[sound:howjsay-ward.mp3]
rehearsal	[sound:howjsay-rehearsal.mp3]
proved	[sound:howjsay-proved.mp3]
overheard	[sound:howjsay-overheard.mp3]
nuclear	[sound:howjsay-nuclear.mp3]
lemme	[sound:howjsay-lemme.mp3]
leather	[sound:howjsay-leather.mp3]
hostage	[sound:howjsay-hostage.mp3]
hammer	[sound:howjsay-hammer.mp3]
faced	[sound:howjsay-faced.mp3]
discover	[sound:howjsay-discover.mp3]
constant	[sound:howjsay-constant.mp3]
Catherine	[sound:howjsay-constant.mp3]
bench	[sound:howjsay-bench.mp3]
tryin	[sound:howjsay-trying.mp3]
taxi	[sound:howjsay-taxi.mp3]
shove	[sound:howjsay-shove.mp3]
sets	[sound:howjsay-sets.mp3]
Reggie	[sound:howjsay-sets.mp3]
moron	[sound:howjsay-moron.mp3]
limits	[sound:howjsay-limits.mp3]
Jeff	[sound:howjsay-limits.mp3]
impress	[sound:howjsay-impress.mp3]
gray	[sound:howjsay-gray.mp3]
entitled	[sound:howjsay-entitled.mp3]
connect	[sound:howjsay-connect.mp3]
pussy	[sound:howjsay-pussy.mp3]
needle	[sound:howjsay-needle.mp3]
Megan	[sound:howjsay-needle.mp3]
limit	[sound:howjsay-limit.mp3]
lad	[sound:howjsay-lad.mp3]
intelligent	[sound:howjsay-intelligent.mp3]
instant	[sound:howjsay-instant.mp3]
forms	[sound:howjsay-forms.mp3]
disagree	[sound:howjsay-disagree.mp3]
tiger	[sound:howjsay-tiger.mp3]
stinks	[sound:howjsay-stinks.mp3]
Rianna	[sound:howjsay-stinks.mp3]
recover	[sound:howjsay-recover.mp3]
Paul's	[sound:howjsay-recover.mp3]
Louie	[sound:howjsay-recover.mp3]
losers	[sound:howjsay-losers.mp3]
groom	[sound:howjsay-groom.mp3]
gesture	[sound:howjsay-gesture.mp3]
developed	[sound:howjsay-developed.mp3]
constantly	[sound:howjsay-constantly.mp3]
blocks	[sound:howjsay-blocks.mp3]
bartender	[sound:howjsay-bartender.mp3]
tunnel	[sound:howjsay-tunnel.mp3]
suspects	[sound:howjsay-suspects.mp3]
sealed	[sound:howjsay-sealed.mp3]
removed	[sound:howjsay-removed.mp3]
paradise	[sound:howjsay-paradise.mp3]
legally	[sound:howjsay-legally.mp3]
illness	[sound:howjsay-illness.mp3]
hears	[sound:howjsay-hears.mp3]
dresses	[sound:howjsay-dresses.mp3]
aye	[sound:howjsay-aye.mp3]
vehicle	[sound:howjsay-vehicle.mp3]
thy	[sound:howjsay-thy.mp3]
teachers	[sound:howjsay-teachers.mp3]
sheet	[sound:howjsay-sheet.mp3]
receive	[sound:howjsay-receive.mp3]
psychic	[sound:howjsay-psychic.mp3]
night's	
Melissa	
denied	[sound:howjsay-denied.mp3]
teenage	[sound:howjsay-teenage.mp3]
Sierra	
rabbit	[sound:howjsay-rabbit.mp3]
puppy	[sound:howjsay-puppy.mp3]
Patty	
knocking	[sound:howjsay-knocking.mp3]
judging	[sound:howjsay-judging.mp3]
bible	[sound:howjsay-bible.mp3]
behalf	[sound:howjsay-behalf.mp3]
accidentally	[sound:howjsay-accidentally.mp3]
waking	[sound:howjsay-waking.mp3]
ton	[sound:howjsay-ton.mp3]
superior	[sound:howjsay-superior.mp3]
slack	[sound:howjsay-slack.mp3]
seek	[sound:howjsay-seek.mp3]
rumor	[sound:howjsay-rumor.mp3]
Natalie's	
manners	[sound:howjsay-manners.mp3]
homeless	[sound:howjsay-homeless.mp3]
hollow	[sound:howjsay-hollow.mp3]
hills	[sound:howjsay-hills.mp3]
Gordon	
desperately	[sound:howjsay-desperately.mp3]
critical	[sound:howjsay-critical.mp3]
coward	[sound:howjsay-coward.mp3]
Winslow	
theme	[sound:howjsay-theme.mp3]
tapes	[sound:howjsay-tapes.mp3]
sheets	[sound:howjsay-sheets.mp3]
referring	[sound:howjsay-referring.mp3]
personnel	[sound:howjsay-personnel.mp3]
Perkins	
ol	
Maxie	
item	[sound:howjsay-item.mp3]
Genoa	
