tables	tabelas, mesas, quadros, gráficos​,colher colher de sopa​,colheradas,lençóis freáticos, lençóis de água, camadas freáticas
sympathy	condolência compaixão solidariedade​,profunda solidariedade profunda simpatia profundas condolências, profundos sentimentos​,sincera simpatia​,condolência expressão de boa vontade testemunho de simpatia manifestação de solidariedade​
pill	pílula comprimido cápsula​,travesseiro almofada descanso​,pilar coluna​,borboto​
pee	xixi chichi​,par colega, nobre​,perscrutar igualar emergir despontar​,casca pá​,descascar​
lean	enxuto magro reduzida simples​,apoiar curvar(-se)​,inclinação​,apoiado​,apoiada​
filthy	sujo imundo sórdido indecente​,podre de rico muito rico ​
cliff	falésia penhasco precipício despenhadeiro​,falésias, penhascos, escarpas, arribas,de suspense ​,frente do rochedo​
burger	hambúrguer​
web	web site rede teia​,tecer​,website site sítio​
seventeen	dezessete num, dezassete num ​,décimo sétimo num, décima sétima num ​
landed	desembarcado, pousado, descarregados descarregado conseguido​,aristocracia rural​,preço no destino​
expression	expressão manifestação termo dito​,manifestação de interesse expressão de interesse​,expressão genética expressão do gene​,expressão idiomática​
entrance	entrada porta ingresso​,entrada hall de entrada átrio salão de entrada​,joia de admissão taxa de entrada taxa de admissão preço das entradas​,entradas
employee	funcionário empregado trabalhador colaborador​,compromisso dos colaboradores envolvimento dos funcionários engajamento dos empregados​,benefícios dos empregados, benefícios para empregados, benefícios aos funcionários, benefícios do pessoal​,rotatividade de empregados rotatividade de funcionários rotatividade dos empregados rotação de colaboradores​
drawing	desenho figura​,mesa de desenho prancheta de desenho​,elaboração processo de elaboração​,sala de visitas​
cap	limite tampão touca barrete​,tampar​
bunny	coelhinho coelho​,orelhas de coelhinha,coelhinha​
bracelet	pulseira​,pulseiras
thirteen	treze num ​,décimo terceiro num ​
scout	escoteiro olheiro batedor​,escotismo​,de aferição ​,escoteiros, batedores, olheiros​,escoteiro​
principal	principal capital central fundamentais​,diretor mandante protagonista​,mandantes​



facility	instalação facilidade unidade instituição​,facilidade de crédito​,unidade fabril instalação de fabrico unidade de fabricação unidade industrial​,gestão de instalações gerenciamento de instalações gestão das instalações gestão de imóveis​

deeper	profundos mais fundo mais aprofundada mais intenso​,compreensão mais profunda entendimento mais profundo conhecimento mais profundo compreensão aprofundada​,conhecimento mais aprofundado conhecimento mais profundo aprofundado conhecimento​,ideia sólida​
arrive	chegar vir suceder​,chegado​,chegar a algo​,obtidas alcançada​
unique	único exclusiva original singular​,singularidade originalidade unicidade especificidade​,visitantes únicos​,características únicas, características singulares, características originais
tracking	rastreamento monitoramento monitorização rastreio​,rastreadores​,número de rastreamento número de acompanhamento número de seguimento número de rastreio​,sistema de rastreamento sistema de seguimento sistema de localização sistema de monitoramento​,rastreamento de veículos acompanhamento de veículo rastreamento veicular rastreio de veículos​
spite	despeito ódio rancor​,implicar​,apesar de prep ​,vingativos maldoso​
shed	derramar perder verter mudar​,derramadas eliminado soltos​,galpão estábulo telheiro curral​,derramamento​,depósito de ferramentas​
recommend	recomendar​,recomendação​,recomendado, recomendados recomendável indicado​,preço a retalho recomendado preço de retalho aconselhado​

nanny	babá ama​,cabra​
naive	ingênuo ingénuo inocente​,ingenuidade​,ingenuidade​
menu	menu lista cardápio ementa​,barra de menu barra do menu​,menu suspenso menu descendente​

diet	dieta regime dieta alimentar​,dietético alimentar alimentares nutricional​,nutricionista dietista​
corn	milho calo​,canto esquina curva escanteio​,pedra angular pilar alicerce marco​,fundamento​
authorities	autoridades, governo entidades, entidades competentes,autoridades fiscais, administração fiscal administrações fiscais,autoridades reguladoras, autoridades regulamentadoras, entidades reguladoras, autoridades regulamentares,autoridades de saúde, autoridades sanitárias, autoridades da área da saúde

separated	separado, dividida divididos afastado​

patch	mancha remendo adesivo pedaço​,remendar​,desigual fragmentadas irregular fragmentado​,de retalhos ​,patchwork mosaico manta de retalhos emaranhado​
grey	cinza cinzento grisalhos nublosa paralelo​,galgo​,zona cinzenta área cinzenta área nublosa​,zona de penumbra​,literatura cinzenta​
dime	moeda de dez centavos tostão​
devastated	devastado, destruído destruídos assoladas​
description	descrição descritivo definição caracterização​,descrição de funções descrição das funções descrição do trabalho descrição da função​,descrições de cargos,breve descrição descrição breve descrição sucinta rápida descrição​
tap	torneira toque​,utilizar explorar bater​,círio​,esvaziamento tomada para derivação​
subtle	sutis subtis sutil subtil​,subtileza sutileza delicadeza​,subtilezas, sutilezas,forma sutil forma subtil maneira subtil​
include	incluir conter​,incluído, incluso presente integrado​,serviços incluídos​,ser incluído​

garrison	guarnição​
citizen	cidadão cidadã habitante​,nacionalidade​,cidadania​,cidadão corporativo cidadão empresarial cidadã corporativa​

beans	grãos, feijões​,feijões verdes​,feijões comuns​,feijão cozido feijões cozidos​

pile	pilha monte pêlo​,empilhar​,empilhar acumular acumular-se empilhar-se​,empilhado amontoado​,pilha de chapas​
metal	metal​,metálico metalúrgico metalizado​,chapa metálica metal laminado​


executive	executivo executiva gerente ​,executivo de gestão, administrativo​,sumário executivo resumo executivo​,presidente executivo diretor executivo chefe executivo comandante executivo​,presidente, director executivo Diretor Geral Executivo Principal​
confirm	confirmar aprovar sustentar corroborar​
capital	capital capital investimento verba​,importante vital​


toe	dedo do pé​,dedos, dedos dos pés​,apoio​,dedo grande do pé dedão dedão do pé​

parade	desfile parada cortejo pompa​,desfilar​,campo de manobras​,parada de sucessos​


bow	arco proa curva reverência​,curvar inclinar​,tigela bacia taça tina​,jogar boliche jogar bowling​,intestino intestinos​
borrowed	emprestado de empréstimo, emprestados alheio​,dinheiro emprestado​,empréstimos contraídos, financiamentos contraídos​,capital emprestado capital alheio​
booth	cabine cabina expositor barraca​,cabine fotográfica​,cabina telefónica telefone público orelhão​,cabina de vaporização​

straighten	arrumar​,alisamento endireitamento​,alisado esticado endireitado retificado​,endireitar​
steak	bife filé​,churrascaria​,bife do lombo de vaca​,febra de porco​
status	situação status estatuto estado​,statu quo estado atual situação vigente situação existente​,estado civil situação conjugal estado conjugal estado matrimonial​
remote	remoto remotos remotas distante​,remotamente​,controle remoto controlo remoto telecomando comando da televisão​,sensoriamento remoto teledetecção detecção remota​
premonition	premonição pressentimento presságio​
poem	poema​
planted	plantado, cultivada implantada semeados​,florestas plantadas,área plantada​
honored	honrado, honrados consagrada​,convidado de honra​
youth	jovem, juventude infância​,jovem juvenil jovial juvenis​,jovens pl, juventude​,albergue pousada de juventude albergue da juventude​
specifically	
meetings	reuniões, encontros, sessões,assembleias gerais, reuniões gerais,reuniões regulares, reuniões periódicas, reuniões ordinárias, encontros periódicos​,reuniões presenciais, encontros presenciais​

exam	exame teste prova​,exame análise avaliação teste​,por exemplo​
daily	diário quotidiano cotidiano quotidianas diariamente diário cotidiano​,base diária hábito diário base quotidiana​,cotidiano quotidiano vida quotidiana vida cotidiana​,diária taxa diária tarifa diária​
convenient	conveniente convenientes adequado prático​,localização conveniente local conveniente localização privilegiada lugar conveniente​


laying	colocação assentamento postura​,colocação dos tubos​,instalação de cabos​,galinhas poedeiras

crystal	cristal​,cristalino límpidas​,cristalino absolutamente claro​,ecrã de cristais líquidos visor de cristais líquidos​,cristalino​
apply	aplicar pedir requerer usar​,aplicável candidatas aplicáveis referentes​,candidatar-se inscrever-se para algo candidatar-se a algo​,candidatar-se a um emprego concorrer a um emprego​

technology	tecnologia​,tecnologia da informação tecnologia de informação tecnologia das informações​,diretora de tecnologia​,tecnologia proprietária tecnologia própria tecnologia patenteada tecnologia exclusiva​
steel	aço​,siderúrgico​,aço inoxidável aço inox​,aço macio​,aço-carbono aço de carbono​
muscle	músculo​,forçar​,músculo liso​,músculos​,tensão muscular estiramento muscular esforço muscular​

dish	prato antena travessa​,parabólica​,pratos, louça loiça louças,máquina de lavar louça lavadora de louça​,acompanhamento​

sis	mana irmã​,irmã freira​
sales	venda vendas,vendedor​,vendas líquidas, receita líquida de vendas faturamento líquido valor líquido das vendas​,gerente de vendas, gerente comercial, responsável de vendas, responsável comercial ​

legend	lenda legenda mito​,lendário legendário lendárias famosa​
kindly	
