			
fanático,-a,caqui,bonitão		[sound:cambridge-buff.mp3]	a person who knows a lot about and is very interested in a particular subject
cera	/<span class="ipa dipa">wæks</span>/	[sound:cambridge-wax.mp3]	a solid substance that becomes soft when warm and melts easily, often used to make candles
manga,ter um plano na manga	/<span class="ipa dipa">sliv</span>/	[sound:cambridge-sleeve.mp3]	the part of a jacket, shirt, etc. that covers your arm
			
sobremesa	/<span class="ipa dipa">ˈpʊd.ɪŋ</span>/	[sound:cambridge-pudding.mp3]	sweet food that is usually eaten as the last part of a meal
			
filosofia	/<span class="ipa dipa">fɪˈlɑ·sə·fi</span>/	[sound:cambridge-philosophy.mp3]	the study or writing of ideas about the meaning of life
			
Japão		[sound:cambridge-uscld04178.mp3]	a country in East Asia formed of a group of islands
ironia		[sound:cambridge-irony.mp3]	a situation in which something which was intended to have a particular result has the opposite or a very different result
			
maconha,idiota,dopar,drogar	/<span class="ipa dipa">doʊp</span>/	[sound:cambridge-dope.mp3]	marijuana, or, more generally, any type of illegal drug
declarar	/<span class="ipa dipa">dɪˈkleər</span>/	[sound:cambridge-eus75523.mp3]	to officially tell someone the value of something, for example at an airport, because you may have to pay tax
autópsia	/<span class="ipa dipa">ˈɑː.tɑːp-</span>/	[sound:cambridge-eus75493.mp3]	the cutting open and examination of a dead body in order to discover the cause of death
			
tocha,lanterna	/<span class="ipa dipa">tɔrtʃ</span>/	[sound:cambridge-torch.mp3]	a long stick with material that burns tied to the top of it
substituto,substituir	/<span class="ipa dipa">ˈsʌb·stɪˌtut</span>/	[sound:cambridge-substitute.mp3]	someone or something that is used instead of another person or thing
escândalo	/<span class="ipa dipa">ˈskæn·d<span class="sp dsp">ə</span>l</span>/	[sound:cambridge-scandal.mp3]	something that shocks people because they think it is very bad
espetar,picar,ferroar,picada,pontada,ferroada	/<span class="ipa dipa">prɪk</span>/	[sound:cambridge-eus73707.mp3]	to make a very small hole in something with a sharp object
membro	/<span class="ipa dipa">lɪm</span>/	[sound:cambridge-limb.mp3]	a leg or an arm of a person
folha	/<span class="ipa dipa">lif</span>/	[sound:cambridge-leaf.mp3]	a flat, green part of a plant that grows from a stem or branch
laser	/<span class="ipa dipa">ˈleɪ·zər</span>/	[sound:cambridge-laser.mp3]	a very strong line of light that is used in machines and for repairing parts of the body
			
histérico,muito divertido,histericamente	/<span class="ipa dipa">hɪˈster·ɪ·kəl</span>/	[sound:cambridge-hysterical.mp3]	not able to control your behaviour because you are very frightened, angry, excited, etc.
crescimento,tumor	/<span class="ipa dipa">ɡroʊθ</span>/	[sound:cambridge-growth.mp3]	the process of getting bigger or developing
			
trazer,ir buscar,pegar	/<span class="ipa dipa">fetʃ</span>/	[sound:cambridge-fetch.mp3]	to go to another place to get something or someone
dimensões,dimensão	/<span class="ipa dipa">dəˈmen·ʃən</span>/	[sound:cambridge-eus71283.mp3]	a measurement of the length, width, or height of something
			
lotado,cheio de gente	/<span class="ipa dipa">ˈkrɑʊ·dɪd</span>/	[sound:cambridge-crowded.mp3]	very full of people
			
clipe,clipe (filme),videoclipe,prender algo com um clipe,cortar	/<span class="ipa dipa">klɪp</span>/	[sound:cambridge-clip.mp3]	a small metal object used for holding things together
alpinismo	/<span class="ipa dipa">ˈklɑɪ·mɪŋ</span>/	[sound:cambridge-usclavi022.mp3]	the sport of climbing mountains, hills, or rocks
			
abelha,ser/estar obcecado	/<span class="ipa dipa">bi</span>/	[sound:cambridge-b.mp3]	a yellow and black insect that makes honey (= sweet, sticky food)
			
			
sim	/<span class="ipa dipa">jeə</span>/	[sound:cambridge-yeah.mp3]	→  yeah 
			
			
no final,no final das contas	/<span class="ipa dipa">-t̬ə-</span>/	[sound:cambridge-ultimately.mp3]	finally, after a series of things have happened
			
terror	/<span class="ipa dipa">ˈter·ər</span>/	[sound:cambridge-terror.mp3]	a feeling of being very frightened
