in some religions, the place where God or the gods live, and where good people go when they die,the sky,(something which brings) great happiness	céu,paraíso
,whatever happens by chance or (good or bad) luck,a large amount of money	felizmente,sorte,fortuna

to think of as likely to happen or come,to think or believe (that something will happen),to require,to suppose or assume	esperar,acreditar,supor
,a rough sketch or outline of something, especially written,a group (of soldiers etc) taken from a larger group,an order (to a bank etc) for the payment of money,(American) conscription,to make in the form of a rough plan,(American) to conscript into the army etc	alistamento,cheque,corrente de ar,gole,rascunho,recrutamento,ordem de pagamento,esboçar,alistar
,an inhabitant of a city or town,a member of a state or country	cidadão
,a roll of tobacco leaves for smoking	charuto
,energetic or lively; able to work etc,(busily) involved,causing an effect or effects,in force,(of volcanoes) still likely to erupt,of the form of a verb in which the subject performs the action of the verb	ativo,activo,em vigor
,lacking in physical strength,not strong in character,(of a liquid) diluted; not strong,(of an explanation etc) not convincing,(of a joke) not particularly funny	fraqueza,fraco,sem graça

,one of a pair of long narrow strips of wood etc that are attached to the feet for gliding over snow, water etc	esqui,esquí,esquiar

a farm, especially one in North America for rearing cattle or horses	fazenda
	
,the art of arranging and combining sounds able to be produced by the human voice or by instruments,the written form in which such tones etc are set down,of or producing music,like music, especially in being pleasant to hear,(of a person) having a talent for music,a film or play that includes a large amount of singing, dancing etc	musical,música,dotado para a música
,to (cause to) change position or go from one place to another,to change houses,to affect the feelings or emotions of,(in board games) an act of moving a piece,an act of changing homes	movimento,mudar,comover-se,jogada,mudança

,single; separate,intended for, used by etc one person etc,special to one person etc, showing or having special qualities,a single person in contrast to the group to which he belongs,a person	individual,indivíduo,pessoal
,the house, town, country etc where a person etc usually lives,the place from which a person, thing etc comes originally,a place where children without parents, old people, people who are ill etc live and are looked after,a place where people stay while they are working,a house,of a person's home or family,of the country etc where a person lives,(in football) playing or played on a team's own ground,to a person's home,completely; to the place, position etc a thing is intended to be	lar,para casa,casa,pátria,caseiro,local,em casa,em/para casa,completamente

,to look at closely; to inspect closely,(of a doctor) to inspect the body of thoroughly to check for disease etc,to consider carefully,to test the knowledge or ability of (students etc),to question	examinar,interrogar
	documentos
,a machine with a long arm and a chain, for raising heavy weights,to stretch out (the neck, to see round or over something)	garça,grou,guindaste,esticar
,a stone or wooden pillar used to support or adorn a building,something similar in shape,a vertical row (of numbers),a vertical section of a page of print,a section in a newspaper, often written regularly by a particular person,a long file of soldiers marching in short rows,a long line of vehicles etc, one behind the other	coluna,fila
,a gift offered to persuade a person to do something, usually dishonest,to give (someone) a bribe	subornar,suborno
,a type of alcoholic drink made from malted barley flavoured with hops	cerveja
,a piece of especially hard work; a duty that must be done	tarefa
,a group (of animals etc) whose members are so similar or closely related as to be able to breed together,a kind or sort	espécie
,a sheet of strong cloth spread to catch the wind, by which a ship is driven forward,a journey in a ship,an arm of a windmill,(of a ship) to be moved by sails,to steer or navigate a ship or boat,to go in a ship or boat (with or without sails),to begin a voyage,to travel on (the sea etc) in a ship,to move steadily and easily	vela,velejar,pá,passeio de barco,navegar,viajar de barco,partir,viajar,deslocar-se com altivez
,a type of alcoholic drink, a spirit made from sugar cane	rum
,(with ) to begin to use, do etc as a way of solving a problem etc when other methods have failed,a place visited by many people (especially for holidays)	resort,recorrer a,local de veraneio
,acting, or done, with little caution or thought,a large number of red spots on the skin	erupção cutânea,imprudente,precipitado,erupção
,to advise or order (the use of),noun,a doctor's (usually written) instructions for the preparing and taking of a medicine,the act of prescribing	receita médica,recomendar,,receita
	


be quiet; silence,silence	caluda!,silêncio
a mass of soft, light material such as fine light hair etc,covered with fuzz,indistinct; blurred; not clear	penugem,penugento,impreciso
,easily broken	frágil
	
to use or spend (supplies etc)	dispender/gastar
	
	

,to lead or guide,to carry or allow to flow,to direct (an orchestra, choir etc),to behave (oneself),to manage or carry on (a business),behaviour,the way in which something is managed, done etc	conduzir,guiar,transmitir,dirigir,comportar-se,comportamento,gestão
,of comedy,causing amusement,an amusing person, especially a professional comedian,a children's periodical containing funny stories, adventures etc in the form of comic strips	cômico,divertido,engraçado,cómico,banda desenhada
,a gambling game using cards with numbered squares	bingo


,a road, often with trees along either side,(often abbreviated to . when written) a word used in the names of certain roads or streets	avenida
	
	
,to go to see (a person or place),to stay in (a place) or with (a person) for a time,an act of going to see someone or something for pleasure, socially, professionally etc, or going to stay for a time,a person who visits, socially or professionally	visitante,visitar,visita
,a set of clothes usually all of the same cloth etc, made to be worn together, eg a jacket, trousers (and waistcoat) for a man, or a jacket and skirt or trousers for a woman,a piece of clothing for a particular purpose,a case in a law court,an old word for a formal request, eg a proposal of marriage to a lady,one of the four sets of playing-cards – spades, hearts, diamonds, clubs,to satisfy the needs of, or be convenient for,(of clothes, styles, fashions etc) to be right or appropriate for,to adjust or make appropriate or suitable	mala,fato,fato de (banho, etc.),processo,proposta de casamento,naipe,convir,ficar bem,adaptar
,the place, person, circumstance, thing etc from which anything begins or comes,the spring from which a river flows	fonte,origem,nascente

,to examine carefully,to look at quickly but not in detail,to pass radar beams etc over,to pass an electronic or laser beam over a text or picture in order to store it in the memory of a computer,to examine and get an image of what is inside a person's body or an object by using ultra-sound and x-ray,to fit into a particular rhythm or metre	digitalizar,escanear,exame,esquadrinhar,passar os olhos por,sondar,escandir,
,a long thin stick or piece of wood, metal etc	vara,barra,bastão,taco
,to give (money) to (someone) in exchange for goods, services etc,to return (money that is owed),to suffer punishment (for),to be useful or profitable (to),to give (attention, homage, respect etc),money given or received for work etc; wages	pagamento,pagar,compensar,dar,ordenado
	
,a machine, usually a petrol engine or an electrical device, that gives motion or power,to travel by car	motor,viajar de carro
short for ,(with capital,(or part of a word) small	,Mini,mini

	
,unsure of oneself or lacking confidence,not safe or firmly fixed	inseguro
,to form a mental picture of (something),to see or hear etc (something which is not true or does not exist),to think; to suppose	imaginar,supor
,firm; solid; not easy to break, scratch etc,not easy to do, learn, solve etc,not feeling or showing kindness,(of weather) severe,having or causing suffering,(of water) containing many chemical salts and so not easily forming bubbles when soap is added,with great effort,with great force; heavily,with great attention,to the full extent; completely	difícil,duro,severo,forte,inquestionável,violento,pesada,esforçadamente,violentamente,fixamente,totalmente
,to risk losing money on the result of a horse-race etc,(something which involves) a risk	arriscar,jogar jogo de azar,jogar,jogada

,a person who deals with letters, accounts etc in an office,a public official in charge of the business affairs of the town council etc,(American) a shop-assistant	assistente de vendas,amanuense,funcionário,balconista
	
,the (part of the arm at the) joint between hand and forearm	pulso

,a long, low cylinder-shaped object through which liquid can pass; a pipe,an organ of this kind in animals or plants,an underground railway (especially in London),a container for a semi-liquid substance which is got out by squeezing	tubo,canal,metropolitano,bisnaga
,to leave or begin a journey,to begin,to (cause an engine etc to) begin to work,to cause something to begin or begin happening etc,the beginning of an activity, journey, race etc,in a race etc, the advantage of beginning before or further forward than others, or the amount of time, distance etc gained through this	entrada,partir,começar,(pôr a) andar,lançar,começo,avanço
,very fine, soft threads made by silkworms,thread, cloth etc made from this	seda
,a machine for making water etc rise from under the ground,a machine or device for forcing liquid or gas into, or out of, something,to raise or force with a pump,to get information from by asking questions	bomba,bombear,sondar
,(of a person, his face etc) having less colour than normal,(of a colour) closer to white than black; not dark,to become pale	pálido,clarear,claro,empalidecer
,pleasant; agreeable,used jokingly,exact; precise	agradável,legal,simpático,lindo,preciso
to pull with great effort or difficulty,to carry by some form of transport,a strong pull,the amount of anything, especially fish, that is got at one time	puxar,transportar,puxão,colheita
a person who has the legal right to take care of a child (usually an orphan),a person who looks after something	tutor,guardião
	
,to avoid (something) by a sudden and/or clever movement,an act of dodging,a trick	esquivar-se,evasão,artimanha
,to ask or ask for firmly and sharply,to require or need,a request made so that it sounds like a command,an urgent claim,willingness or desire to buy or obtain (certain goods etc); a need for (certain goods etc)	exigência,exigir,pedido,solicitação,demanda,procura
,a covering for the foot and lower part of the leg, usually made of leather etc,(American ) a place for luggage in a motor-car etc,to kick	bota,iniciar,porta-bagagem,chutar
painting and sculpture,any of various creative forms of expression,an ability or skill; the (best) way of doing something	arte


,the short thick finger of the hand, set at a different angle from the other four,the part of a glove or mitten covering this finger,(often with ) to turn over (the pages of a book) with the thumb or fingers	polegar,dedo polegar,folhear

the farthest point or place; the boundary,a restriction,to set a restriction on	limite,limitar
,the brightness given by the sun, a flame, lamps etc that makes things able to be seen,something which gives light (eg a lamp),something which can be used to set fire to something else; a flame,a way of viewing or regarding,having light; not dark,(of a colour) pale; closer to white than black	isqueiro,luz,lume,claro


,(often of members of a family) older; senior,a person who is older,an office-bearer in Presbyterian churches,a kind of shrub or tree with purple-black fruit. (ˈelderberries)	mais idoso,mais velho,presbítero,sabugueiro

	
	
